hosp,type,province
1,confirmed,East Azerbaijan
1,confirmed,East Azerbaijan
2,confirmed,East Azerbaijan
2,confirmed,East Azerbaijan
2,confirmed,East Azerbaijan
3,confirmed,East Azerbaijan
5,confirmed,East Azerbaijan
5,confirmed,East Azerbaijan
6,confirmed,East Azerbaijan
7,confirmed,East Azerbaijan
9,confirmed,East Azerbaijan
11,confirmed,East Azerbaijan
11,confirmed,East Azerbaijan
13,confirmed,East Azerbaijan
15,confirmed,East Azerbaijan
17,confirmed,East Azerbaijan
21,confirmed,East Azerbaijan
24,confirmed,East Azerbaijan
25,confirmed,East Azerbaijan
27,confirmed,East Azerbaijan
28,confirmed,East Azerbaijan
33,confirmed,East Azerbaijan
37,confirmed,East Azerbaijan
37,confirmed,East Azerbaijan
39,confirmed,East Azerbaijan
41,confirmed,East Azerbaijan
44,confirmed,East Azerbaijan
46,confirmed,East Azerbaijan
44,confirmed,East Azerbaijan
43,confirmed,East Azerbaijan
45,confirmed,East Azerbaijan
45,confirmed,East Azerbaijan
45,confirmed,East Azerbaijan
44,confirmed,East Azerbaijan
45,confirmed,East Azerbaijan
43,confirmed,East Azerbaijan
42,confirmed,East Azerbaijan
37,confirmed,East Azerbaijan
34,confirmed,East Azerbaijan
31,confirmed,East Azerbaijan
28,confirmed,East Azerbaijan
28,confirmed,East Azerbaijan
31,confirmed,East Azerbaijan
33,confirmed,East Azerbaijan
36,confirmed,East Azerbaijan
42,confirmed,East Azerbaijan
45,confirmed,East Azerbaijan
48,confirmed,East Azerbaijan
48,confirmed,East Azerbaijan
48,confirmed,East Azerbaijan
48,confirmed,East Azerbaijan
52,confirmed,East Azerbaijan
54,confirmed,East Azerbaijan
53,confirmed,East Azerbaijan
51,confirmed,East Azerbaijan
49,confirmed,East Azerbaijan
44,confirmed,East Azerbaijan
40,confirmed,East Azerbaijan
35,confirmed,East Azerbaijan
28,confirmed,East Azerbaijan
27,confirmed,East Azerbaijan
26,confirmed,East Azerbaijan
24,confirmed,East Azerbaijan
23,confirmed,East Azerbaijan
22,confirmed,East Azerbaijan
21,confirmed,East Azerbaijan
18,confirmed,East Azerbaijan
17,confirmed,East Azerbaijan
16,confirmed,East Azerbaijan
17,confirmed,East Azerbaijan
16,confirmed,East Azerbaijan
15,confirmed,East Azerbaijan
15,confirmed,East Azerbaijan
15,confirmed,East Azerbaijan
15,confirmed,East Azerbaijan
15,confirmed,East Azerbaijan
13,confirmed,East Azerbaijan
15,confirmed,East Azerbaijan
15,confirmed,East Azerbaijan
15,confirmed,East Azerbaijan
15,confirmed,East Azerbaijan
14,confirmed,East Azerbaijan
14,confirmed,East Azerbaijan
13,confirmed,East Azerbaijan
13,confirmed,East Azerbaijan
12,confirmed,East Azerbaijan
11,confirmed,East Azerbaijan
11,confirmed,East Azerbaijan
10,confirmed,East Azerbaijan
9,confirmed,East Azerbaijan
10,confirmed,East Azerbaijan
10,confirmed,East Azerbaijan
9,confirmed,East Azerbaijan
11,confirmed,East Azerbaijan
12,confirmed,East Azerbaijan
14,confirmed,East Azerbaijan
16,confirmed,East Azerbaijan
17,confirmed,East Azerbaijan
18,confirmed,East Azerbaijan
20,confirmed,East Azerbaijan
21,confirmed,East Azerbaijan
20,confirmed,East Azerbaijan
22,confirmed,East Azerbaijan
25,confirmed,East Azerbaijan
25,confirmed,East Azerbaijan
25,confirmed,East Azerbaijan
26,confirmed,East Azerbaijan
26,confirmed,East Azerbaijan
27,confirmed,East Azerbaijan
27,confirmed,East Azerbaijan
25,confirmed,East Azerbaijan
26,confirmed,East Azerbaijan
30,confirmed,East Azerbaijan
30,confirmed,East Azerbaijan
35,confirmed,East Azerbaijan
35,confirmed,East Azerbaijan
36,confirmed,East Azerbaijan
37,confirmed,East Azerbaijan
37,confirmed,East Azerbaijan
38,confirmed,East Azerbaijan
40,confirmed,East Azerbaijan
38,confirmed,East Azerbaijan
39,confirmed,East Azerbaijan
43,confirmed,East Azerbaijan
47,confirmed,East Azerbaijan
51,confirmed,East Azerbaijan
52,confirmed,East Azerbaijan
55,confirmed,East Azerbaijan
57,confirmed,East Azerbaijan
57,confirmed,East Azerbaijan
57,confirmed,East Azerbaijan
57,confirmed,East Azerbaijan
59,confirmed,East Azerbaijan
59,confirmed,East Azerbaijan
60,confirmed,East Azerbaijan
64,confirmed,East Azerbaijan
69,confirmed,East Azerbaijan
74,confirmed,East Azerbaijan
77,confirmed,East Azerbaijan
78,confirmed,East Azerbaijan
79,confirmed,East Azerbaijan
77,confirmed,East Azerbaijan
75,confirmed,East Azerbaijan
71,confirmed,East Azerbaijan
69,confirmed,East Azerbaijan
67,confirmed,East Azerbaijan
67,confirmed,East Azerbaijan
65,confirmed,East Azerbaijan
66,confirmed,East Azerbaijan
64,confirmed,East Azerbaijan
65,confirmed,East Azerbaijan
62,confirmed,East Azerbaijan
60,confirmed,East Azerbaijan
57,confirmed,East Azerbaijan
59,confirmed,East Azerbaijan
59,confirmed,East Azerbaijan
55,confirmed,East Azerbaijan
54,confirmed,East Azerbaijan
53,confirmed,East Azerbaijan
52,confirmed,East Azerbaijan
50,confirmed,East Azerbaijan
46,confirmed,East Azerbaijan
43,confirmed,East Azerbaijan
44,confirmed,East Azerbaijan
43,confirmed,East Azerbaijan
41,confirmed,East Azerbaijan
42,confirmed,East Azerbaijan
44,confirmed,East Azerbaijan
46,confirmed,East Azerbaijan
46,confirmed,East Azerbaijan
47,confirmed,East Azerbaijan
47,confirmed,East Azerbaijan
48,confirmed,East Azerbaijan
51,confirmed,East Azerbaijan
52,confirmed,East Azerbaijan
53,confirmed,East Azerbaijan
58,confirmed,East Azerbaijan
56,confirmed,East Azerbaijan
58,confirmed,East Azerbaijan
61,confirmed,East Azerbaijan
59,confirmed,East Azerbaijan
58,confirmed,East Azerbaijan
